Price,Cup,Hero
2342.158859,5000,10
936.863544,19878,54
117.107943,5777,32
375.003055,7000,1
270.004073,6000,1
255.002546,5000,1
526.985743,25865,61
1169.90835,31200,79
1405.295316,26265,59
11827.90224,73510,85
117.107943,623,23
234.215886,3129,43
5844.422974,55000,84
6987.897034,50000,84
878.309572,22088,62
1698.065173,33654,73
3513.238289,17944,56
4332.99389,45000,82
2342.158859,28300,72
644.093686,22000,60
1979.124236,29666,80
44.501018,666,13
1171.07943,21400,66
4098.778004,43000,83
11710.794297,51970,83
22.250509,53,4
81975.560081,76600,81
2342.158859,5000,10
4684.317719,31500,64
3513.238289,24400,71
1300.003564,34000,82
9999.999491,50000,85
14052.953157,63812,83
1053.971487,17000,55
936.863544,26970,71
2342.158859,46500,84
1853.088762,23184,73
409.8778,12800,53
1756.619145,21000,59
3513.238289,28085,46
158.095723,4095,28
737.780041,24000,67
292.769857,3300,25
952.087576,31000,71
870.112016,28500,61
834.979633,25100,59
832.637475,25950,58
444.684357,11298,44
351.323829,22063,42
819.755601,18500,68
1171.07943,26805,64
70.264766,500,15
58.553971,400,17
87.830957,400,13
117.107943,1200,25
6749.999949,63500,83
16545.435371,40492,79
87.830957,4832,19
158.095723,1800,23
199.083503,3000,28
2927.698574,38700,83
346.440428,16000,57
1405.295316,27874,76
1405.295316,30534,70
468.431772,10677,50
468.431772,15275,50
7026.476578,63000,80
174.99557,667,21
117.107943,6000,30
234.215886,16026,54
292.769857,6655,32
2927.698574,27000,75
3513.238289,41900,82
585.539715,6038,38
1323.63483,30000,79
397.090449,5000,45
397.090449,5500,44
526.985743,19948,49
702.647658,22412,68
468.431772,16371,45
1171.07943,30742,79
819.755601,23255,63
585.539715,16944,56
585.539715,20500,66
1112.525458,28755,77
819.755601,22938,68
702.647658,20630,67
702.647658,22831,60
761.201629,23095,57
761.201629,21454,60
761.201629,24100,63
1288.187373,31580,74
702.647658,21256,58
702.647658,21822,61
936.863544,26487,70
761.201629,22202,72
644.093686,20616,66
14052.953157,56487,83
878.309572,14000,62
1390.071283,28476,77
526.985743,25000,45
761.201629,18200,52
1756.619145,37000,66
1171.07943,34833,79
234.215886,9,7
585.539715,11455,47
1873.727088,26781,68
468.431772,8000,34
1756.619145,26067,74
2107.942974,26147,77
498.996945,5,3
2969.447556,49306,82
807.389002,23000,69
877.138493,1,3
263.492872,5000,25
1287.016293,25000,55
1052.800407,20000,50
701.476578,15000,45
584.368635,10000,30
702.647658,1500,26
7612.016293,47000,70
20025.458248,71500,85
4450.101833,50000,82
4918.533605,34000,72
995.417515,14583,68
5000.002088,32401,83
526.985743,21389,57
46.843177,800,11
17566.191446,57000,82
4742.87169,37000,82
4742.87169,47000,84
4508.655804,45000,84
2927.698574,41000,83
6165.733198,47000,84
2927.698574,39000,84
2552.953157,36000,83
4742.87169,41000,84
1399.439919,28118,70
819.755601,7387,42
1405.295316,13000,60
995.417515,13000,54
292.769857,2000,31
81.97556,100,6
2927.698574,27727,77
117.107943,2549,29
2107.942974,41392,83
234.215886,1481,34
234.215886,2830,43
234.215886,825,31
234.215886,5384,40
2927.698574,31000,70
468.431772,15500,59
585.539715,23500,60
93.686354,2200,25
1171.07943,35500,80
2342.158859,37592,82
3513.238289,46192,82
4098.778004,48007,85
1288.187373,28474,76
2107.942974,33977,82
222.505092,14400,57
878.309572,19195,63
281.059063,5600,36
1171.07943,36395,72
4699.541752,55300,83
8783.095723,78000,85
1171.07943,8000,39
1171.07943,34000,78
374.745418,13768,53
351.323829,11461,53
3513.238289,25000,51
2927.698574,24000,58
1639.511202,15000,72
936.863544,26315,73
3513.238289,45422,82
4098.778004,43757,84
4215.885947,44441,79
409.8778,6436,40
5082.106934,23365,61
2342.158859,38000,79
1756.619145,4248,31
1386.558045,21600,60
1171.07943,36000,69
1171.07943,37000,77
1053.971487,36000,77
819.755601,33000,55
4098.778004,41544,84
3513.238289,44446,83
210.794297,6861,37
989.562118,27050,76
40.98778,500,8
4098.778004,47500,84
703.260132,21400,65
1288.187373,24546,68
661.817415,19000,56
3513.238289,43628,79
5855.397149,45722,79
4684.317719,43715,79
4752.240326,41637,81
4450.101833,39884,79
4508.655804,43976,79
5861.252546,43313,78
5269.857434,45776,80
2845.723014,35101,73
2225.050916,34118,64
819.755601,13088,38
5386.965377,40337,78
4567.209776,40272,75
4332.99389,39305,72
5855.397149,43264,78
3279.022403,40090,70
